ticker_byma,nombre_empresa,puntaje_tecnico,tendencia,cruce_reciente,tipo_cruce,divergencia_rsi,divergencia_macd,distancia_media_pct,roc_20d_pct,macd_hist_pct,volumen_relativo,ad_normalizado,rsi_actual,patron_piso
GE,General Electric Co.,60.49,1,False,ninguno,ninguna,ninguna,4.7,-5.65,0.3,0.52,0.09,39.38,False
BAYN,Bayer AG,59.73,1,False,ninguno,ninguna,ninguna,289.25,0.45,-2.24,0.48,-0.12,49.6,False
AIG,American International Group (AIG),59.12,1,False,ninguno,alcista,alcista,2.86,-1.27,0.07,0.18,-0.05,50.49,False
DEO,Diageo PLC,58.51,1,False,ninguno,bajista,bajista,7.33,-5.09,-0.11,0.4,0.01,46.42,False
JPM,J.P. Morgan & Chase Co.,56.08,1,False,ninguno,ninguna,ninguna,11.31,-3.65,-0.55,0.72,-0.07,38.08,False
ABEV,Ambev S.A.,55.32,1,False,ninguno,ninguna,ninguna,4.61,2.4,-0.24,0.35,-0.21,44.02,False
MSI,"Motorola Solutions, Inc.",54.86,1,False,ninguno,ninguna,ninguna,12.29,-5.76,-0.46,0.11,0.03,46.47,False
BHP,Bhp Group Ltd,54.26,1,False,ninguno,ninguna,ninguna,14.08,-11.06,-0.55,1.66,-0.12,40.82,False
CRM,Salesforce Inc.,52.74,1,True,dorado,ninguna,ninguna,26.01,-4.58,-1.6,0.47,-0.08,40.0,False
DD,Dupont de Nemours Inc.,52.13,1,False,ninguno,ninguna,ninguna,0.26,-5.54,0.53,0.1,-0.32,52.75,False
ANF,Abercrombie & Fitch Co,51.98,1,False,ninguno,alcista,ninguna,41.77,-6.4,-1.92,0.63,-0.11,39.66,False
BSBR,Banco Santander (Brasil) S.A.,51.67,1,True,dorado,bajista,bajista,2.62,-0.65,-0.58,0.06,0.07,42.94,False
BA,The Boeing Company,51.06,1,False,ninguno,alcista,ninguna,-5.9,-5.71,-0.27,1.9,-0.19,36.39,False
TIMB,Tim Participações S.A.,50.3,0,False,ninguno,ninguna,ninguna,-12.98,3.51,-0.03,1.51,-0.23,53.14,False
BMY,Bristol-Myers Squibb Company,49.7,1,False,ninguno,bajista,bajista,9.77,-7.56,-0.73,0.43,0.25,21.5,False
